Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;2464.4;2605.8;1848.7;1722.7;1447.6;1265.2;709.9;909.5;395.8;98.5;133.6;64.7;;;;;;;115.1;181.5;324.5;432;116.3;35.1;19.8;53.1;78.3;44;60.4;104.2;70.3;102.7;91.2;13.6;15;34.1;18.4;42.3;54.8;9.3;16.4;72.5;127.3;67.4
Albania;;;1.1;5.9;0;0;0;0;0;41723.4;;0;0;2.1;8.9;4.6;371;738.8;592.2;250;209.1;5.7;5.1;2.6;2.3;2;22.3;7.3;;0;3.4;9.6;3.1;0;;;5.9;4.1;507.6;169.2;1.4;;0.4;4.6
Algeria;834.5;1084.7;1488.7;1076.3;1060.2;913.9;174.8;106.6;109.3;168.4;70.8;229.7;331.3;115.2;212;288.2;723.4;661.7;109.8;82.1;;85.7;184.6;477.8;100.8;69.5;28.1;0;6.2;3;2.8;3;0.5;0.7;0;1.6;1;2.7;79;59.7;;;1;4.4
American Samoa;493.8;89.3;57.3;0;0;716;49.3;23.8;68.8;44.3;10677.5;396.8;0;0;0;0;0;220.7;36.1;0;17.6;0;;;0;0;;0;0;;;0;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;77.3;;30.4;30.4;75.9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;3646;2337;3435.6;2487;2406.7;2333.7;1536.6;1273.4;1934.3;1763.6;2500.3;1528.8;1350;722.9;413.6;46.4;17.7;558.2;169.9;22.3;137;540.1;689.4;66.7;1.6;13.4;38.2;48.8;12.3;125.2;51.1;59.8;177.1;325.7;430.7;4.2;1.8;1;1.8;92.3;32.4;8.7;91.8;95.5
Anguilla;0;0;150.9;0;0;0;0;0;257;865.3;1785.9;114.9;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0;0;0;0;0;0;0
Antigua and Barbuda;35512.2;3819.7;0;154;15.4;15.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
Argentina;574.8;617.7;153.2;241.8;1063.2;304.6;209.3;256.4;149.5;124.2;60.1;1266.7;609.9;148.9;3.9;18.7;1.7;3.5;281.2;8.5;0.2;0;0;0;0;0;0;0;0;0.1;0.4;0.1;0;0;0;0;0;0.1;0.3;2.9;1.5;0;0;0
Armenia;;;;;;;;;;;247.5;53.1;12.9;97.9;44.3;56.5;618.2;247.1;16.2;12.9;4.8;22.4;13.1;1.3;589.9;758.7;45.8;0.3;0;0;0.7;0;0;3.4;4.4;11.3;0.7;0.3;6.5;2.4;0;0;0;188.2
